DateTime,ADATUNCO_GAGE_HT,ADATUNCO_DISCHRG
2018-09-27 03,1.6,124.5
2018-09-27 04,1.6,124.5
2018-09-27 05,1.6,124.75
2018-09-27 06,1.6,124.75
2018-09-27 07,1.6,124.75
2018-09-27 08,1.6,125
2018-09-27 09,1.6,124.75
2018-09-27 10,1.6,125
2018-09-27 11,1.6,125
2018-09-27 12,1.6,125
2018-09-27 13,1.6,125
2018-09-27 14,1.6,125
2018-09-27 15,1.6,124.75
2018-09-27 16,1.59,124.25
2018-09-27 17,1.6,124.5
2018-09-27 18,1.59,124
2018-09-27 19,1.59,124
2018-09-27 20,1.59,124
2018-09-27 21,1.59,124
2018-09-27 22,1.59,124
2018-09-27 23,1.59,124
2018-09-28 00,1.59,124
2018-09-28 01,1.59,124
2018-09-28 02,1.59,124
2018-09-28 03,1.42,104.2
2018-09-28 04,1.05,64.3
2018-09-28 05,0.96,56.23
2018-09-28 06,0.96,56
2018-09-28 07,0.96,56
2018-09-28 08,0.96,56
2018-09-28 09,0.96,56
2018-09-28 10,0.96,56
2018-09-28 11,0.96,56
2018-09-28 12,0.96,56
2018-09-28 13,0.96,56
2018-09-28 14,0.96,56
2018-09-28 15,0.96,56
2018-09-28 16,0.96,56
2018-09-28 17,0.96,55.77
2018-09-28 18,0.96,56
2018-09-28 19,0.96,56
2018-09-28 20,0.96,56
2018-09-28 21,0.96,56
2018-09-28 22,0.96,56
2018-09-28 23,0.96,56
2018-09-29 00,0.96,55.77
2018-09-29 01,0.96,55.77
2018-09-29 02,0.96,56
2018-09-29 03,0.96,56
2018-09-29 04,0.96,56
2018-09-29 05,0.96,55.55
2018-09-29 06,0.96,56
2018-09-29 07,0.96,55.77
2018-09-29 08,0.96,56
2018-09-29 09,0.96,56
2018-09-29 10,0.96,55.77
2018-09-29 11,0.96,55.77
2018-09-29 12,0.96,56
2018-09-29 13,0.96,56
2018-09-29 14,0.96,56
2018-09-29 15,0.96,56.45
2018-09-29 16,0.96,56
2018-09-29 17,0.96,56
2018-09-29 18,0.96,56
2018-09-29 19,0.96,56.45
2018-09-29 20,0.97,56.9
2018-09-29 21,0.96,56.45
2018-09-29 22,0.97,56.9
2018-09-29 23,0.97,56.9
2018-09-30 00,0.97,56.9
2018-09-30 01,0.97,56.9
2018-09-30 02,0.97,56.9
2018-09-30 03,0.97,56.9
